+-------------------------------------------------------+--------------+----------------------------+---------------------------------------------------------------------+---------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------+--------------------------------------------------------+---------------------------------------------------------+
| Package                                               | Version      | License Information Origin | License Expression                                                  | License Url                                                         | Copyright                                                                           | Authors                                                              | Package Project Url                                                           | Error                                                  | Error Context                                           |
+-------------------------------------------------------+--------------+----------------------------+---------------------------------------------------------------------+---------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------+--------------------------------------------------------+---------------------------------------------------------+
| Aspire.Dashboard.Sdk.win-x64                          | 9.3.0        | Unknown                    |                                                                     | https://aka.ms/deprecateLicenseUrl                                  | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/dotnet/aspire                                              | Validation for licenses of type File not yet supported | F:\VS Projects\Ogma3\Ogma3.AppHost\Ogma3.AppHost.csproj |
| Aspire.Hosting.AppHost                                | 9.3.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/dotnet/aspire                                              |                                                        |                                                         |
| Aspire.Hosting.Orchestration.win-x64                  | 9.3.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/dotnet/aspire                                              |                                                        |                                                         |
| Aspire.Hosting.PostgreSQL                             | 9.3.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/dotnet/aspire                                              |                                                        |                                                         |
| Atulin.AutoDbSet                                      | 1.1.3        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Atulin                                                               | https://github.com/Atulin/AutoDbSets                                          |                                                        |                                                         |
| Atulin.MarkdigExtensions                              | 1.0.1        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Atulin                                                               | https://github.com/Atulin/Markdig-Extensions                                  |                                                        |                                                         |
| B2Net                                                 | 0.7.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Westropp Ventures                                                    | https://github.com/coryrwest/B2.NET                                           |                                                        |                                                         |
| coverlet.collector                                    | 6.0.4        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | tonerdo                                                              | https://github.com/coverlet-coverage/coverlet                                 |                                                        |                                                         |
| Extensions.Hosting.AsyncInitialization                | 3.0.1        | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               |                                                                                     | Thomas Levesque                                                      | https://github.com/thomaslevesque/Extensions.Hosting.AsyncInitialization      |                                                        |                                                         |
| FlexLabs.EntityFrameworkCore.Upsert                   | 9.0.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Artiom Chilaru © 2023                                                               | Artiom Chilaru                                                       | https://github.com/artiomchi/FlexLabs.Upsert                                  |                                                        |                                                         |
| FluentValidation                                      | 12.0.0       | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright (c) Jeremy Skinner, .NET Foundation, and contributors 2008-2025           | Jeremy Skinner                                                       | https://fluentvalidation.net/                                                 |                                                        |                                                         |
| FluentValidation.AspNetCore                           | 11.3.0       | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright (c) Jeremy Skinner, .NET Foundation, and contributors 2008-2022           | Jeremy Skinner                                                       | https://fluentvalidation.net/                                                 |                                                        |                                                         |
| Flurl                                                 | 4.0.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Copyright (c) Todd Menier 2023.                                                     | Todd Menier                                                          | https://flurl.dev/                                                            |                                                        |                                                         |
| Hashids.net                                           | 1.7.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Markus Ullmark                                                       | https://github.com/ullmark/hashids.net                                        |                                                        |                                                         |
| Humanizer.Core                                        | 2.14.1       | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Copyright (c) .NET Foundation and Contributors                                      | Mehdi Khalili, Claire Novotny                                        | https://github.com/Humanizr/Humanizer                                         |                                                        |                                                         |
